N_updates,N_timesteps,FPS,Reward_mean,Reward_median,Reward_min,Reward_max,Entropy,Value_loss,Action_loss,N_episodes,N_blocked_actions,N_goal_reached
930,148960,442,-3840.4375,-20.0,-8192.0,0.0,2.4726157789700665e-05,7.141876220703125,3.851815563393757e-06,1056.0,0.0,0.0
940,150560,442,-3840.4375,-20.0,-8192.0,0.0,2.4335553462151438e-05,6.972249984741211,3.7412464735098183e-06,1056.0,0.0,0.0
950,152160,442,-3840.4375,-20.0,-8192.0,0.0,2.396406671323348e-05,6.806057929992676,3.6358128454594407e-06,1056.0,0.0,0.0
960,153760,442,-3840.4375,-20.0,-8192.0,0.0,2.3613893063156866e-05,6.643017768859863,3.5356647458684165e-06,1056.0,0.0,0.0
970,155360,442,-3840.4375,-20.0,-8192.0,0.0,2.3290438548428938e-05,6.482959270477295,3.4414597394061275e-06,1056.0,0.0,0.0
980,156960,442,-3840.4375,-20.0,-8192.0,0.0,2.3085634893504903e-05,6.246385097503662,3.345170625834726e-06,1056.0,0.0,0.0
990,158560,442,-3840.4375,-20.0,-8192.0,0.0,1.1848745346069336,55.28951644897461,-8.040716171264648,1056.0,0.0,0.0
1000,160160,443,-3840.4375,-20.0,-8192.0,0.0,0.0025416328571736813,5.546004295349121,0.0001049911297741346,1056.0,0.0,0.0
1010,161760,443,-3840.4375,-20.0,-8192.0,0.0,0.16426320374011993,776.481689453125,2.124439239501953,1056.0,0.0,0.0
1020,163360,442,-3840.4375,-20.0,-8192.0,0.0,0.08775422722101212,0.003516517113894224,0.0031486712396144867,1056.0,0.0,0.0
1030,164960,442,-3840.4375,-20.0,-8192.0,0.0,0.0981227308511734,40.571861267089844,-1.1627415418624878,1056.0,0.0,0.0
1040,166560,442,-3840.4375,-20.0,-8192.0,0.0,0.04859308525919914,87.09038543701172,-0.3781816363334656,1056.0,0.0,0.0
1050,168160,442,-3840.4375,-20.0,-8192.0,0.0,0.0011833537137135863,36.73566436767578,-0.00016850396059453487,1056.0,0.0,0.0
1060,169760,441,-3840.4375,-20.0,-8192.0,0.0,0.0011693838750943542,37.35593795776367,-0.0001942616218002513,1056.0,0.0,0.0
1070,171360,440,-3840.4375,-20.0,-8192.0,0.0,0.0012382639106363058,36.47120666503906,-0.00013603796833194792,1056.0,0.0,0.0
1080,172960,440,-3840.4375,-20.0,-8192.0,0.0,0.001296596834436059,37.039276123046875,-0.00019665990839712322,1056.0,0.0,0.0
1090,174560,439,-3840.4375,-20.0,-8192.0,0.0,0.0015869828639551997,36.246219635009766,-0.00016075292660389096,1056.0,0.0,0.0
1100,176160,439,-3840.4375,-20.0,-8192.0,0.0,0.0017166773322969675,36.71397018432617,-0.0002443990088067949,1056.0,0.0,0.0
1110,177760,438,-3840.4375,-20.0,-8192.0,0.0,0.001963253365829587,36.040653228759766,-0.00018544125487096608,1056.0,0.0,0.0
1120,179360,438,-3840.4375,-20.0,-8192.0,0.0,0.0022092144936323166,36.45722198486328,-0.0003027043421752751,1056.0,0.0,0.0
1130,180960,438,-3840.4375,-20.0,-8192.0,0.0,0.0026635003741830587,35.85123062133789,-0.00023769283143337816,1056.0,0.0,0.0
1140,182560,437,-3840.4375,-20.0,-8192.0,0.0,0.08158671855926514,36.195899963378906,-0.031258273869752884,1056.0,0.0,0.0
1150,184160,437,-3840.4375,-20.0,-8192.0,0.0,0.0042794537730515,91.1256103515625,-0.0011172463418915868,1056.0,0.0,0.0
1160,185760,437,-3840.4375,-20.0,-8192.0,0.0,0.004234972409904003,89.99205780029297,-0.0014497657539322972,1056.0,0.0,0.0
1170,187360,437,-3840.4375,-20.0,-8192.0,0.0,0.005357850808650255,3.0216917991638184,0.0004981064703315496,1056.0,0.0,0.0
1180,188960,437,-3840.4375,-20.0,-8192.0,0.0,0.005552193149924278,2.2307238578796387,-4.851743597100722e-06,1056.0,0.0,0.0
1190,190560,437,-3840.4375,-20.0,-8192.0,0.0,0.002104952000081539,6.899356365203857,-0.000138536372105591,1056.0,0.0,0.0
1200,192160,437,-3840.4375,-20.0,-8192.0,0.0,0.008778915740549564,89.7862548828125,0.4394036829471588,1056.0,0.0,0.0
1210,193760,437,-3840.4375,-20.0,-8192.0,0.0,0.003456675447523594,11.567684173583984,-0.6983575224876404,1056.0,0.0,0.0
1220,195360,437,-3840.4375,-20.0,-8192.0,0.0,0.0033109120558947325,21.108144760131836,-5.689360023097834e-07,1056.0,0.0,0.0
1230,196960,437,-3840.4375,-20.0,-8192.0,0.0,0.0035148710012435913,12.152929306030273,-4.199893623990647e-07,1056.0,0.0,0.0
1240,198560,437,-3840.4375,-20.0,-8192.0,0.0,0.003769888076931238,20.989351272583008,-5.091209800411889e-07,1056.0,0.0,0.0
1250,200160,437,-3840.4375,-20.0,-8192.0,0.0,0.004091388545930386,12.066813468933105,-3.8651342038065195e-07,1056.0,0.0,0.0
1260,201760,437,-3840.4375,-20.0,-8192.0,0.0,0.0044694566167891026,20.877962112426758,-4.780015387950698e-07,1056.0,0.0,0.0
1270,203360,437,-3840.4375,-20.0,-8192.0,0.0,0.004941002931445837,11.984527587890625,-3.7175271927480935e-07,1056.0,0.0,0.0
1280,204960,437,-3840.4375,-20.0,-8192.0,0.0,0.005557429976761341,20.771076202392578,-4.6265887476693024e-07,1056.0,0.0,0.0
1290,206560,437,-3840.4375,-20.0,-8192.0,0.0,0.006341933272778988,11.904999732971191,-3.7307921729734517e-07,1056.0,0.0,0.0
1300,208160,437,-3840.4375,-20.0,-8192.0,0.0,0.0074510350823402405,20.667455673217773,-4.624967289146298e-07,1056.0,0.0,0.0
1310,209760,436,-3840.4375,-20.0,-8192.0,0.0,0.009023492224514484,11.827594757080078,5.385369877330959e-05,1056.0,0.0,0.0
1320,211360,436,-3840.4375,-20.0,-8192.0,0.0,0.011994351632893085,20.56631851196289,-5.04159515912761e-07,1056.0,0.0,0.0
1330,212960,436,-3840.4375,-20.0,-8192.0,0.0,0.01739531196653843,11.751792907714844,-5.561544185184175e-07,1056.0,0.0,0.0
1340,214560,436,-3840.4375,-20.0,-8192.0,0.0,0.03406345099210739,20.46710968017578,-9.192129368784663e-07,1056.0,0.0,0.0
1350,216160,436,-3840.4375,-20.0,-8192.0,0.0,0.17686998844146729,11.677325248718262,-0.0004387242079246789,1056.0,0.0,0.0
1360,217760,436,-3840.4375,-20.0,-8192.0,0.0,0.6717954277992249,20.36943817138672,3.983577335020527e-05,1056.0,0.0,0.0
1370,219360,436,-3840.4375,-20.0,-8192.0,0.0,0.6710389852523804,11.60394287109375,-3.552020280039869e-05,1056.0,0.0,0.0
1380,220960,436,-3840.4375,-20.0,-8192.0,0.0,0.6732692122459412,20.27301025390625,3.5136385122314095e-05,1056.0,0.0,0.0
1390,222560,436,-3840.4375,-20.0,-8192.0,0.0,0.6710851788520813,11.531479835510254,-1.5767509466968477e-05,1056.0,0.0,0.0
1400,224160,436,-3840.4375,-20.0,-8192.0,0.0,0.6743549108505249,20.17763328552246,-8.419032383244485e-06,1056.0,0.0,0.0
1410,225760,436,-3840.4375,-20.0,-8192.0,0.0,0.6730884313583374,11.459772109985352,-1.200239967147354e-05,1056.0,0.0,0.0
1420,227360,436,-3840.4375,-20.0,-8192.0,0.0,0.6749879717826843,20.083120346069336,4.090325455763377e-05,1056.0,0.0,0.0
1430,228960,436,-3840.4375,-20.0,-8192.0,0.0,0.6754218935966492,11.388704299926758,8.287167474918533e-06,1056.0,0.0,0.0
1440,230560,436,-3840.4375,-20.0,-8192.0,0.0,0.6752729415893555,19.989391326904297,2.4064489480224438e-05,1056.0,0.0,0.0
1450,232160,436,-3840.4375,-20.0,-8192.0,0.0,0.6771771907806396,11.31822395324707,-7.070782430673717e-06,1056.0,0.0,0.0
1460,233760,436,-3840.4375,-20.0,-8192.0,0.0,0.6786741018295288,19.896265029907227,2.172793392674066e-05,1056.0,0.0,0.0
1470,235360,436,-3840.4375,-20.0,-8192.0,0.0,0.6810048222541809,11.248229026794434,3.7122590583749115e-05,1056.0,0.0,0.0
1480,236960,436,-3840.4375,-20.0,-8192.0,0.0,0.6838780045509338,19.803714752197266,7.83872019383125e-05,1056.0,0.0,0.0
1490,238560,436,-3840.4375,-20.0,-8192.0,0.0,0.701296865940094,11.17871379852295,-0.0003894977562595159,1056.0,0.0,0.0
1500,240160,436,-3840.4375,-20.0,-8192.0,0.0,0.8944503664970398,19.71198844909668,-0.013093321584165096,1056.0,0.0,0.0
1510,241760,436,-3840.4375,-20.0,-8192.0,0.0,1.0627350807189941,11.109658241271973,-0.002032379386946559,1056.0,0.0,0.0
1520,243360,436,-3840.4375,-20.0,-8192.0,0.0,1.0640926361083984,19.620140075683594,0.0010188160231336951,1056.0,0.0,0.0
1530,244960,436,-3840.4375,-20.0,-8192.0,0.0,1.0641897916793823,11.040864944458008,0.00023180758580565453,1056.0,0.0,0.0
1540,246560,436,-3840.4375,-20.0,-8192.0,0.0,0.002269007498398423,22.8829288482666,0.0002104869345203042,1056.0,0.0,0.0
1550,248160,435,-3840.4375,-20.0,-8192.0,0.0,0.3153494596481323,1.0332454442977905,-0.006964986212551594,1056.0,0.0,0.0
1560,249760,435,-3840.4375,-20.0,-8192.0,0.0,0.4102499783039093,1.2753475904464722,-0.1351362019777298,1056.0,0.0,0.0
1570,251360,435,-3840.4375,-20.0,-8192.0,0.0,0.06838390231132507,0.20731192827224731,-0.006560215726494789,1056.0,0.0,0.0
1580,252960,435,-3840.4375,-20.0,-8192.0,0.0,0.22503995895385742,0.2023458629846573,0.00019498998881317675,1056.0,0.0,0.0
1590,254560,436,-3840.4375,-20.0,-8192.0,0.0,0.4380989968776703,0.19721028208732605,2.0808076442335732e-05,1056.0,0.0,0.0
1600,256160,436,-3840.4375,-20.0,-8192.0,0.0,0.7748400568962097,0.19224907457828522,-6.147618842078373e-05,1056.0,0.0,0.0
1610,257760,435,-3840.4375,-20.0,-8192.0,0.0,0.9119046330451965,0.18739143013954163,-3.979692701250315e-05,1056.0,0.0,0.0
1620,259360,436,-3840.4375,-20.0,-8192.0,0.0,0.9994354844093323,0.18262848258018494,-5.099383997730911e-05,1056.0,0.0,0.0
1630,260960,436,-3840.4375,-20.0,-8192.0,0.0,1.0293681621551514,0.17795896530151367,-8.35804094094783e-05,1056.0,0.0,0.0
1640,262560,436,-1342.25,-538.0,-18508.0,0.0,0.712073564529419,0.0023031665477901697,-0.03254450112581253,2112.0,0.0,0.0
1650,264160,436,-1342.25,-538.0,-18508.0,0.0,1.0243993997573853,1.953541328703068e-08,-1.9999764845124446e-05,2112.0,0.0,0.0
1660,265760,436,-1342.25,-538.0,-18508.0,0.0,1.0448651313781738,1.5005600317863355e-08,-8.07357719168067e-06,2112.0,0.0,0.0
1670,267360,436,-1342.25,-538.0,-18508.0,0.0,1.0908267498016357,2.1350372136907936e-08,-4.022290886496194e-05,2112.0,0.0,0.0
1680,268960,436,-1342.25,-538.0,-18508.0,0.0,1.0668162107467651,2.0251894383704894e-08,-1.881859134300612e-05,2112.0,0.0,0.0
1690,270560,436,-1342.25,-538.0,-18508.0,0.0,1.0389174222946167,2.1217749335278313e-08,-3.195455064997077e-05,2112.0,0.0,0.0
1700,272160,437,-1342.25,-538.0,-18508.0,0.0,1.0645086765289307,1.6319800622000002e-08,-5.890560260013444e-06,2112.0,0.0,0.0
1710,273760,437,-1342.25,-538.0,-18508.0,0.0,1.0577584505081177,1.4491599031885016e-08,1.4800004464632366e-05,2112.0,0.0,0.0
1720,275360,437,-1342.25,-538.0,-18508.0,0.0,1.0616123676300049,1.4455916463873564e-08,2.8149890567874536e-05,2112.0,0.0,0.0
1730,276960,437,-1342.25,-538.0,-18508.0,0.0,1.0700408220291138,1.466695831453535e-08,3.166730311932042e-05,2112.0,0.0,0.0
1740,278560,437,-1342.25,-538.0,-18508.0,0.0,1.071165919303894,1.4333084941142715e-08,3.38058453053236e-05,2112.0,0.0,0.0
1750,280160,437,-1342.25,-538.0,-18508.0,0.0,1.0716644525527954,1.301402008380137e-08,4.385967622511089e-05,2112.0,0.0,0.0
1760,281760,437,-1342.25,-538.0,-18508.0,0.0,1.0683302879333496,1.1112359921128245e-08,-1.54617282532854e-06,2112.0,0.0,0.0
1770,283360,437,-1342.25,-538.0,-18508.0,0.0,1.0712586641311646,1.2519849157399676e-08,-2.1052501324447803e-05,2112.0,0.0,0.0
1780,284960,437,-1342.25,-538.0,-18508.0,0.0,1.0687752962112427,1.783650027675776e-08,-6.0046426369808614e-05,2112.0,0.0,0.0
1790,286560,437,-1342.25,-538.0,-18508.0,0.0,1.07703697681427,2.8638638127631566e-08,-0.0001009174229693599,2112.0,0.0,0.0
1800,288160,438,-1342.25,-538.0,-18508.0,0.0,1.0784451961517334,2.9952929025967023e-08,-0.00011167304910486564,2112.0,0.0,0.0
1810,289760,438,-1342.25,-538.0,-18508.0,0.0,1.0818244218826294,3.134194770382237e-08,-0.00012464646715670824,2112.0,0.0,0.0
1820,291360,438,-1342.25,-538.0,-18508.0,0.0,1.0810447931289673,4.4633569729057854e-08,-0.00016656823572702706,2112.0,0.0,0.0
1830,292960,438,-1342.25,-538.0,-18508.0,0.0,1.0705077648162842,3.0259649008712586e-08,-0.0001350913371425122,2112.0,0.0,0.0
1840,294560,438,-1342.25,-538.0,-18508.0,0.0,1.0712432861328125,1.2679112160185468e-07,0.0003277626819908619,2112.0,0.0,0.0
1850,296160,438,-1342.25,-538.0,-18508.0,0.0,1.0532608032226562,8.713402166904416e-06,0.0029351064004004,2112.0,0.0,0.0
1860,297760,438,-1342.25,-538.0,-18508.0,0.0,1.0939247608184814,1.6753820091253147e-05,0.00407728785648942,2112.0,0.0,0.0
1870,299360,438,-1342.25,-538.0,-18508.0,0.0,1.0798286199569702,3.640347472355643e-07,0.0005988974589854479,2112.0,0.0,0.0
1880,300960,439,-1342.25,-538.0,-18508.0,0.0,1.0764743089675903,1.9733686684730856e-08,-0.00011279423051746562,2112.0,0.0,0.0
1890,302560,439,-1342.25,-538.0,-18508.0,0.0,1.083816409111023,7.499172625102801e-07,-0.0008325143717229366,2112.0,0.0,0.0
1900,304160,439,-1342.25,-538.0,-18508.0,0.0,1.0899282693862915,9.023726306622848e-06,-0.0029811598360538483,2112.0,0.0,0.0
1910,305760,439,-1342.25,-538.0,-18508.0,0.0,1.0698152780532837,9.096717803913634e-06,-0.0029380698688328266,2112.0,0.0,0.0
1920,307360,439,-1342.25,-538.0,-18508.0,0.0,1.0871715545654297,1.316398652306816e-06,-0.0011278033489361405,2112.0,0.0,0.0
1930,308960,439,-1342.25,-538.0,-18508.0,0.0,1.0590708255767822,0.17327073216438293,0.0026181116700172424,2112.0,0.0,0.0
1940,310560,439,-1342.25,-538.0,-18508.0,0.0,1.0645569562911987,0.16001899540424347,1.7834476011557854e-06,2112.0,0.0,0.0
